bubble,100,16.00,15184.00,51.20,40.00,0.4320,0.4950,0.4878,0.4905,0.1850,0.3099,0.2474,0.2475
quick,100,4.00,21097.00,26.12,10.00,0.7872,1.5051,0.9751,0.9618,0.3718,1.1469,0.5869,0.5765
merge,100,6.00,18777.00,26.98,16.00,0.7767,0.8459,0.8156,0.8158,2.0229,2.0229,2.0229,2.0229
heap,100,6.00,18055.00,18.65,15.00,1.4931,1.5955,1.5467,1.5473,0.8354,0.9121,0.8752,0.8760
bubble,200,56.00,34908.00,173.23,130.00,0.4532,0.4975,0.4935,0.4949,0.1985,0.2992,0.2488,0.2487
quick,200,8.00,15105.00,35.35,20.00,0.8536,1.5548,1.0235,1.0106,0.3964,0.9930,0.5983,0.5887
merge,200,14.00,15851.00,56.92,33.00,0.8144,0.8562,0.8385,0.8386,2.0199,2.0199,2.0199,2.0199
heap,200,14.00,27216.00,42.98,33.00,1.5705,1.6366,1.6048,1.6052,0.8641,0.9164,0.8896,0.8896
bubble,300,119.00,18984.00,314.53,266.00,0.4738,0.4983,0.4956,0.4964,0.2114,0.2851,0.2491,0.2490
quick,300,13.00,18135.00,44.20,31.00,0.8750,1.5984,1.0463,1.0358,0.4172,0.9791,0.6041,0.5947
merge,300,22.00,22430.00,82.87,50.00,0.8324,0.8628,0.8496,0.8499,2.0157,2.0157,2.0157,2.0157
heap,300,21.00,49384.00,64.93,50.00,1.6053,1.6543,1.6304,1.6304,0.8750,0.9159,0.8958,0.8956
bubble,400,202.00,91649.00,569.57,440.00,0.4754,0.4988,0.4966,0.4973,0.2184,0.2790,0.2494,0.2493
quick,400,17.00,18157.00,64.16,42.00,0.8824,1.4846,1.0622,1.0516,0.4205,1.0103,0.6077,0.5996
merge,400,31.00,15775.00,91.81,70.00,0.8437,0.8694,0.8566,0.8567,2.0176,2.0176,2.0176,2.0176
heap,400,30.00,21858.00,93.28,70.00,1.6289,1.6708,1.6502,1.6503,0.8862,0.9194,0.9015,0.9015
bubble,500,302.00,39055.00,837.31,650.00,0.4800,0.4990,0.4973,0.4978,0.2227,0.2770,0.2494,0.2494
quick,500,23.00,27154.00,80.81,56.00,0.9074,1.4611,1.0723,1.0617,0.4486,0.9454,0.6097,0.6023
merge,500,39.00,58027.00,122.35,89.00,0.8474,0.8693,0.8599,0.8599,2.0023,2.0023,2.0023,2.0023
heap,500,39.00,27689.00,131.19,89.00,1.6380,1.6757,1.6566,1.6567,0.8887,0.9155,0.9018,0.9019
bubble,600,431.00,180241.00,1372.16,950.50,0.4865,0.4992,0.4977,0.4982,0.2237,0.2783,0.2495,0.2495
quick,600,28.00,29189.00,104.68,66.00,0.9147,1.6560,1.0811,1.0715,0.4560,0.9837,0.6119,0.6037
merge,600,49.00,41738.00,155.13,111.00,0.8540,0.8753,0.8656,0.8656,2.0140,2.0140,2.0140,2.0140
heap,600,49.00,24046.00,157.19,115.00,1.6532,1.6844,1.6701,1.6701,0.8932,0.9183,0.9064,0.9064
bubble,700,569.00,192550.00,1813.26,1285.00,0.4873,0.4993,0.4980,0.4984,0.2228,0.2759,0.2496,0.2496
quick,700,34.00,179173.00,143.48,82.00,0.9303,1.5554,1.0869,1.0768,0.4603,0.9529,0.6142,0.6070
merge,700,58.00,24686.00,160.43,129.00,0.8598,0.8765,0.8689,0.8690,2.0182,2.0182,2.0182,2.0182
heap,700,62.00,27652.00,190.66,138.00,1.6652,1.6929,1.6801,1.6802,0.8966,0.9201,0.9096,0.9096
bubble,800,743.00,112146.00,2015.53,1592.00,0.4900,0.4994,0.4983,0.4986,0.2245,0.2738,0.2496,0.2496
quick,800,38.00,21669.00,132.06,90.00,0.9513,1.5677,1.0933,1.0829,0.4531,1.0508,0.6165,0.6088
merge,800,67.00,17587.00,186.39,146.00,0.8625,0.8796,0.8712,0.8713,2.0158,2.0158,2.0158,2.0158
heap,800,67.00,22027.00,199.82,152.00,1.6706,1.7008,1.6864,1.6864,0.9007,0.9230,0.9113,0.9113
bubble,900,926.00,37901.00,3398.28,1976.00,0.4906,0.4994,0.4984,0.4988,0.2238,0.2705,0.2497,0.2498
quick,900,43.00,18544.00,149.95,105.00,0.9397,1.4897,1.0980,1.0889,0.4679,0.9909,0.6175,0.6101
merge,900,76.00,18591.00,236.50,166.00,0.8656,0.8803,0.8729,0.8729,2.0099,2.0099,2.0099,2.0099
heap,900,77.00,18849.00,230.68,174.00,1.6770,1.7011,1.6897,1.6898,0.9017,0.9213,0.9117,0.9118
bubble,1000,1134.00,183875.00,6058.68,2423.00,0.4877,0.4995,0.4986,0.4989,0.2281,0.2743,0.2497,0.2497
quick,1000,50.00,15733.00,154.84,116.00,0.9574,1.5349,1.1021,1.0923,0.4589,0.9838,0.6184,0.6110
merge,1000,85.00,106455.00,282.60,185.00,0.8668,0.8798,0.8737,0.8738,2.0021,2.0021,2.0021,2.0021
heap,1000,88.00,18386.00,257.90,198.00,1.6801,1.7012,1.6911,1.6911,0.9017,0.9200,0.9114,0.9114
